"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","0","0","0","0","1918","1902","16"
"East Jaintia Hills","2","0","0","0","2450","2416","32"
"East Khasi Hills","176","70","22","0","42113","40928","1009"
"North Garo Hills","0","0","0","0","1686","1678","8"
"Ri-Bhoi","5","3","0","0","9748","9653","90"
"South Garo Hills","0","0","0","0","1218","1206","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","3","3","0","0","2553","2533","17"
"West Garo Hills","20","9","1","0","9112","9019","73"
"West Jaintia Hills","6","5","0","0","6830","6688","136"
"West Khasi Hills","0","0","0","0","5520","5446","74"
"Total","212","90","23","0","85021","83324","1485"
