"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87735","32","85587","2116"
"2","SAS Nagar","69075","43","67958","1074"
"3","Jalandhar","63566","37","62028","1501"
"4","Patiala","49018","20","47636","1362"
"5","Amritsar","47450","5","45846","1599"
"6","Bathinda","41817","7","40763","1047"
"7","Hoshiarpur","31018","32","29989","997"
"8","Gurdaspur","22418","4","21611","803"
"9","Fazilka","20287","4","19752","531"
"10","Pathankot","19018","33","18552","433"
"11","Muktsar","18807","2","18281","524"
"12","Kapurthala","17907","31","17320","556"
"13","Sangrur","15770","0","14895","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14481","11","13966","504"
"16","Faridkot","13959","6","13633","320"
"17","Ropar","13007","2","12577","428"
"18","SBS Nagar","11480","8","11084","388"
"19","FG Sahib","8912","6","8569","337"
"20","Moga","8685","1","8450","234"
"21","Tarn Taran","8079","11","7687","381"
"22","Barnala","5958","9","5705","244"
"","Total","604058","305","587118","16635"
