"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 08-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","161","544","275466","273915[106]","99.44","1007","185","625","1944","5381335"
"2","Faridabad","44","199","130039","129099[22]","99.28","741","145","487","727","4053650"
"3  Hisar","","5","14","62175","60986[5]","98.09","1175","142","298","207","2352048"
"4","Sonipat","5","12","58731","58443[3]","99.51","276","84","308","192","2291353"
"5","Karnal","1","3","48267","47668[1]","98.76","596","54","208","292","2394037"
"6","Panchkula","13","33","44396","43949[6]","98.99","414","63","193","530","1125781"
"7","Ambala","4","15","40827","40270[1]","98.64","542","46","400","587","2139797"
"8","Panipat","0","3","36117","35442","98.13","672","41","148","152","2057304"
"9","Sirsa","0","1","33416","32876[2]","98.38","539","65","378","115","1938267"
"10  Rohtak","","0","9","31995","31432[3]","98.24","537","63","575","242","1701742"
"","11  Yamunanagar","2","4","30696","30237","98.50","455","89","966","417","1962714"
"12  Kurukshetra","","4","10","26872","26464","98.48","398","23","384","290","1557933"
"13  Bhiwani","","2","14","26551","25872","97.44","665","85","354","478","1776201"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","65","211","602","1384068"
"15  Rewari","","1","14","24656","24418[4]","99.03","224","140","411","1129","1572083"
"16","Jind","1","6","24365","23817","97.75","542","86","560","120","1719251"
"17","Jhajjar","1","10","23530","23164[1]","98.44","350","87","172","200","1578992"
"18  Fatehabad","","0","9","20082","19575","97.48","498","63","65","70","1193492"
"19  Kaithal","","1","6","14251","13874","97.35","371","56","631","719","1770271"
"20  Palwal","","0","1","13508","13337[1]","98.73","170","17","75","57","1538772"
"","21  Charkhi Dadri","0","1","7458","7312","98.04","145","11","49","783","899399"
"22  Nuh","","2","2","6121","5980","97.70","139","17","15","21","1222043"
"Haryana","","247","910","1004273","992719[155]","98.85","10621","1627","7513","9874","43610533"
