"Total No. of Sample Taken Today","13306"
"Total No. of Positive Cases Detected Today","247"
"Total Active COVID-19 Patients","910"
"Total No. of Active Cases under Home Isolation (08-06-2022)","892"
"Total No. of Samples found Positive till date","1004273"
"Total Positive COVID-19 Patients Recovered / Discharged till date","992719"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","19014 
(1st Dose: 1627 
2nd Dose: 7513 
Precaution Dose: 9874)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23546412 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19304420 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","759701"
"Cumulative Coverage of Total COVID-19 Vaccination","43610533"
"COVID-19 Today (08-06-2022) Positivity Rate","1.86%"
"Recovery Rate","98.85%"
"Fatality Rate","1.06%"
