"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","66,992"
"2","Number of persons tested positive today in Tamil Nadu","3,588"
"","Passengers returned from other states  by road tested 
positive today","West Bengal  - 4"
"","Total","3,592"
"3","Total Number of persons tested positive till date","34,28,068"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,10,346/ 
6,29,80,537@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,05,619/ 
6,18,34,461"
"6","No. of Male / Female / Transgender tested positive today","2,126/1,466/0"
"7","No. of Male / Female / Transgender tested positive till date","20,00,666/14,27,364/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","332 (69 Govt+ 
263$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","14,182/ 
33,23,214"
"10","Total number of deaths today/ till date","25(9 Private &  
16 Govt) /37,862"
