"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 22-05-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","120","707","273075","271361[183]","99.37","1007","239","336","1329","5319591"
"2","Faridabad","18","258","129507","128508[57]","99.23","741","142","1053","873","4022482"
"3  Hisar","","2","7","62105","60923","98.10","1175","2","8","37","2336230"
"4","Sonipat","2","7","58705","58422[1]","99.52","276","68","186","348","2277868"
"5","Karnal","4","13","48248","47639","98.74","596","8","34","42","2381809"
"6","Panchkula","6","27","44305","43864[8]","99.00","414","38","32","68","1112159"
"7","Ambala","0","10","40803","40251[3]","98.65","542","58","49","33","2122326"
"8","Panipat","0","21","36105","35412","98.08","672","12","64","85","2045265"
"9","Sirsa","0","3","33394","32852","98.38","539","3","3","1","1925967"
"10  Rohtak","","2","25","31961","31382","98.19","537","5","59","90","1690985"
"","11  Yamunanagar","0","2","30685","30228[1]","98.51","455","17","192","20","1937785"
"12  Kurukshetra","","0","2","26856","26456","98.51","398","23","46","9","1540247"
"13  Bhiwani","","1","10","26522","25847","97.45","665","29","81","33","1761569"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","2","3","24","1372660"
"15  Rewari","","0","5","24620","24391","99.07","224","21","46","118","1558770"
"16","Jind","1","3","24358","23813","97.76","542","72","115","18","1711006"
"17","Jhajjar","2","6","23489","23127","98.46","350","25","90","26","1571460"
"18  Fatehabad","","0","1","20070","19571","97.51","498","0","0","0","1191643"
"19  Kaithal","","2","4","14244","13869","97.37","371","8","96","112","1748679"
"20  Palwal","","0","9","13501","13322","98.67","170","220","192","21","1529402"
"","21  Charkhi Dadri","0","10","7452","7297","97.92","145","0","3","36","889044"
"22  Nuh","","0","1","6112","5972","97.71","139","0","3","1","1221101"
"Haryana","","160","1131","1000871","989096[253]","98.82","10621","992","2691","3324","43268048"
