"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","1","0","0","2089","20","4","0"
"East Jaintia Hills","0","0","0","2677","40","0","0"
"East Khasi Hills","4","2","0","47892","1080","14","6"
"Eastern West Khasi Hills","0","0","0","161","9","0","0"
"North Garo Hills","0","0","0","1920","10","0","0"
"Ri-Bhoi","0","1","0","10597","102","10","2"
"South Garo Hills","0","0","0","1442","16","0","0"
"South West Garo Hills","1","1","0","2270","21","3","0"
"South West Khasi Hills","0","0","0","2723","20","1","0"
"West Garo Hills","1","2","0","11873","84","15","1"
"West Jaintia Hills","0","0","0","7327","142","1","0"
"West Khasi Hills","0","0","0","5672","78","0","0"
"Total","7","6","0","96643","1622","48","9"
