Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
2022-03-29,HP,Bilaspur,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,18232,95,18133,,2022-03-29 19:55:42.756501,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,1
2022-03-29,HP,Chamba,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,16062,171,15868,,2022-03-29 19:55:42.756518,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,2
2022-03-29,HP,Hamirpur,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,23313,328,22977,,2022-03-29 19:55:42.756520,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,1
2022-03-29,HP,Kangra,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,63694,1246,62416,,2022-03-29 19:55:42.756521,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,7
2022-03-29,HP,Kinnaur,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,4438,41,4392,,2022-03-29 19:55:42.756522,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,0
2022-03-29,HP,Kullu,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,11958,162,11792,,2022-03-29 19:55:42.756524,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,2
2022-03-29,HP,Lahaul and Spiti,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,3155,18,3137,,2022-03-29 19:55:42.756525,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,0
2022-03-29,HP,Mandi,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,38807,502,38238,,2022-03-29 19:55:42.756526,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,0
2022-03-29,HP,Shimla,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,35687,716,34947,,2022-03-29 19:55:42.756529,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,4
2022-03-29,HP,Sirmaur,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,19860,221,19636,,2022-03-29 19:55:42.756531,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,0
2022-03-29,HP,Solan,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,30609,335,30269,,2022-03-29 19:55:42.756532,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,0
2022-03-29,HP,Una,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,18689,279,18402,,2022-03-29 19:55:42.756533,2022-03-29 17:00:00+05:30,https://twitter.com/nhm_hp,,284504,4114,280207,,19,2
