"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,782"
"2","Number of persons tested positive today in Tamil Nadu","617"
"","Passengers returned from other Countries  by 
International Airport tested positive today","Oman - 1"
"","Total","618"
"3","Total Number of persons tested positive till date","34,47,006"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","63,267/ 
6,40,86,016@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","62,549/ 
6,29,14,934"
"6","No. of Male / Female / Transgender tested positive today","352/266/0"
"7","No. of Male / Female / Transgender tested positive till date","20,11,910/14,35,058/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,153/ 
33,98,231"
"10","Total number of deaths today/ till date","4(1 Private &  
3 Govt) /37,993"
