"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","534","877","4491"
"Kollam","178","130","1035"
"Pathanamthitta","149","120","368"
"Alappuzha","101","75","533"
"Kottayam","202","373","2985"
"Idukki","71","86","1321"
"Ernakulam","496","584","4305"
"Thrissur","187","269","2077"
"Palakkad","62","50","657"
"Malappuram","106","80","1455"
"Kozhikode","252","319","3356"
"Wayanad","57","39","935"
"Kannur","164","237","1246"
"Kasaragod","46","42","822"
"Total","2605","3281","25586"
