"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","12","40617","39","39918","335","2","364","0"
"2","Ballari","55","115235","254","112740","747","0","1746","2"
"3","Belagavi","73","99764","1050","96788","1979","1","995","2"
"4","Bengaluru Rural","9","79218","13","78139","173","0","906","0"
"5","Bengaluru Urban","769","1773991","1889","1748371","8828","7","16791","1"
"6","Bidar","7","29768","22","29300","46","0","418","4"
"7","Chamarajanagara","29","43506","47","42774","199","0","522","11"
"8","Chikkaballapura","16","55557","66","54827","271","0","458","1"
"9","Chikkamagaluru","22","57141","31","56492","243","0","406","0"
"10","Chitradurga","39","46022","108","45154","634","1","234","0"
"11","Dakshina 
Kannada","43","135202","92","132897","470","2","1826","9"
"12","Davanagere","4","57472","41","56727","123","0","622","0"
"13","Dharwada","37","83895","128","82243","289","2","1361","2"
"14","Gadag","6","30550","20","30158","57","0","335","0"
"15","Hassana","43","143677","78","142078","296","0","1301","2"
"16","Haveri","7","26767","24","25996","104","0","667","0"
"17","Kalaburagi","10","76432","60","75279","279","0","874","0"
"18","Kodagu","45","49002","71","48265","388","1","348","1"
"19","Kolara","20","62894","70","62126","106","1","662","0"
"20","Koppala","9","41239","4","40505","197","0","537","0"
"21","Mandya","25","101356","57","100465","189","2","702","0"
"22","Mysuru","83","228935","187","225684","697","2","2554","0"
"23","Raichuru","3","45402","82","44932","111","0","359","0"
"24","Ramanagara","1","29713","18","29266","101","0","346","0"
"25","Shivamogga","39","83040","115","81122","792","0","1125","1"
"26","Tumakuru","84","159439","302","157295","936","0","1208","0"
"27","Udupi","35","95385","78","94518","328","1","539","0"
"28","Uttara Kannada","33","70998","40","69661","529","0","808","0"
"29","Vijayapura","10","40930","77","40202","217","1","511","0"
"30","Yadagiri","11","29932","16","29625","97","0","210","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","1579","3933115","5079","3873580","19761","23","39738","36"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 17-02-2022 
 Page 5 of 16","","","","","","","","",""
