"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235356","232618","80","2658"
"3","Chennai","750833","741495","270","9068"
"4","Coimbatore","329884","327178","89","2617"
"5","Cuddalore","74240","73336","9","895"
"6","Dharmapuri","36191","35891","17","283"
"7","Dindigul","37474","36805","4","665"
"8","Erode","132664","131911","19","734"
"9","Kallakurichi","36521","36300","6","215"
"10","Kancheepuram","94370","93036","32","1302"
"11","Kanyakumari","86204","85110","9","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59626","59241","15","370"
"14","Madurai","91029","89786","7","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25440","25062","3","375"
"17","Namakkal","67997","67455","8","534"
"18","Nilgiris","42109","41852","31","226"
"19","Perambalur","14461","14211","1","249"
"20","Pudukottai","34462","34031","5","426"
"21","Ramanathapuram","24673","24296","9","368"
"22","Ranipet","53912","53124","1","787"
"23","Salem","127355","125583","10","1762"
"24","Sivagangai","23818","23592","7","219"
"25","Tenkasi","32744","32248","6","490"
"26","Thanjavur","92127","91067","21","1039"
"27","Theni","50598","50061","4","533"
"28","Thirupathur","35732","35095","4","633"
"29","Thiruvallur","147426","145464","23","1939"
"30","Thiruvannamalai","66806","66111","10","685"
"31","Thiruvarur","48009","47533","4","472"
"32","Thoothukudi","64949","64494","7","448"
"33","Tirunelveli","62761","62305","11","445"
"34","Tiruppur","129915","128846","17","1052"
"35","Trichy","94933","93760","12","1161"
"36","Vellore","57281","56089","29","1163"
"37","Villupuram","54580","54214","0","366"
"38","Virudhunagar","56826","56260","12","554"
"39","Airport Surveillance 
(International)","1246","1241","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,215","34,13,394","796","38,025"
