"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","48","60","479"
"Kollam","30","14","134"
"Pathanamthitta","18","12","126"
"Alappuzha","14","16","123"
"Kottayam","43","80","446"
"Idukki","16","115","98"
"Ernakulam","69","65","797"
"Thrissur","32","52","132"
"Palakkad","7","3","43"
"Malappuram","13","18","131"
"Kozhikode","20","1","206"
"Wayanad","7","17","67"
"Kannur","9","10","33"
"Kasaragod","5","9","21"
"Total","331","472","2836"
