"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","620","110396","408","107897","13","2292","207"
"2","SAS Nagar","1105","96794","784","95317","5","1153","324"
"3","Jalandhar","285","78555","209","76909","1","1579","67"
"4","Patiala","423","62444","322","60894","1","1458","92"
"5","Amritsar","176","59573","137","57845","2","1684","44"
"6","Bathinda","177","51045","103","49881","0","1088","76"
"7","Hoshiarpur","105","40945","96","39828","0","1096","21"
"8","Gurdaspur","53","26992","39","26112","1","865","15"
"9","Pathankot","106","24634","81","24114","0","495","25"
"10","Fazilka","75","23471","58","22897","0","545","29"
"11","Muktsar","27","22581","25","22035","0","539","7"
"12","Kapurthala","77","22112","57","21509","1","583","20"
"13","Ropar","76","18014","59","17542","0","455","17"
"14","Ferozepur","51","17950","36","17396","1","538","16"
"15","Mansa","39","17267","13","16849","1","393","25"
"16","Faridkot","103","16886","75","16516","0","338","32"
"17","Sangrur","23","14332","15","13588","0","735","9"
"18","SBS Nagar","34","13436","33","13021","0","409","6"
"19","FG Sahib","80","11914","50","11530","0","354","30"
"20","Moga","21","11008","16","10747","1","255","6"
"21","Tarn Taran","21","10918","12","10517","0","394","7"
"22","Barnala","12","7509","14","7157","0","349","3"
"23","Malerkotla","11","3979","11","3802","0","176","1"
"","Total","3700","762755","2653","743903","27","17773","1079"
