"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","289","32","40982","5","3921","44903","157"
"Bageshwar","282","300","22245","6","1986","24231","197"
"Chamoli","218","547","24744","54","2688","27432","821"
"Champawat","717","297","32189","3","1696","33885","629"
"Dehradun","6922","8031","216892","274","30045","246937","3058"
"Haridwar","3515","3981","228080","64","11966","240046","625"
"Nainital","278","209","40899","28","10741","51640","210"
"Pauri Garhwal","1091","1023","42168","21","4758","46926","263"
"Pithoragarh","161","493","23433","33","2274","25707","869"
"Rudraprayag","176","66","16360","38","2468","18828","325"
"Tehri Garhwal","85","352","17536","16","2147","19683","202"
"US Nagar","1072","909","79111","16","8345","87456","468"
"Uttarkashi","252","590","17866","27","1417","19283","255"
"Total","15058","16830","802505","585","84452","886957","8079"
