"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","10","40666","6","40117","182","0","367","0"
"2","Ballari","14","115420","110","113385","279","0","1754","2"
"3","Belagavi","18","99987","118","98763","225","0","997","2"
"4","Bengaluru Rural","3","79257","27","78285","66","0","906","0"
"5","Bengaluru Urban","353","1777446","690","1756166","4408","14","16871","1"
"6","Bidar","2","29790","6","29359","9","0","418","4"
"7","Chamarajanagara","2","43578","23","42933","111","1","523","11"
"8","Chikkaballapura","2","55585","31","54983","142","0","459","1"
"9","Chikkamagaluru","6","57193","22","56702","85","0","406","0"
"10","Chitradurga","9","46140","22","45700","203","0","237","0"
"11","Dakshina 
Kannada","23","135362","40","133346","171","1","1835","10"
"12","Davanagere","6","57504","9","56813","69","0","622","0"
"13","Dharwada","3","83989","62","82561","54","1","1372","2"
"14","Gadag","1","30567","3","30220","12","0","335","0"
"15","Hassana","6","143791","22","142375","112","0","1302","2"
"16","Haveri","4","26821","8","26126","27","0","668","0"
"17","Kalaburagi","11","76522","45","75463","181","1","878","0"
"18","Kodagu","15","49173","92","48663","158","1","351","1"
"19","Kolara","1","62936","12","62229","43","0","664","0"
"20","Koppala","0","41257","75","40670","50","0","537","0"
"21","Mandya","4","101444","30","100673","68","0","703","0"
"22","Mysuru","28","229213","47","226333","325","0","2555","0"
"23","Raichuru","4","45434","3","45001","74","0","359","0"
"24","Ramanagara","1","29759","8","29370","43","0","346","0"
"25","Shivamogga","7","83194","25","81664","401","0","1128","1"
"26","Tumakuru","8","159691","78","158029","450","0","1212","0"
"27","Udupi","15","95529","21","94859","127","0","543","0"
"28","Uttara Kannada","23","71082","21","70206","68","0","808","0"
"29","Vijayapura","5","40975","16","40394","66","0","515","0"
"30","Yadagiri","4","29946","20","29689","46","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","588","3939287","1692","3891110","8255","19","39885","37"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 24-02-2022 
 Page 5 of 10","","","","","","","","",""
