"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","431","110207","286","107775","9","2288","144"
"2","SAS Nagar","798","96487","587","95120","2","1150","217"
"3","Jalandhar","221","78491","175","76875","1","1579","37"
"4","Patiala","323","62354","264","60836","0","1457","61"
"5","Amritsar","138","59535","109","57817","1","1683","35"
"6","Bathinda","114","50982","67","49845","0","1088","49"
"7","Hoshiarpur","89","40929","86","39818","0","1096","15"
"8","Gurdaspur","38","26977","30","26103","1","865","9"
"9","Pathankot","81","24612","68","24101","0","495","16"
"10","Fazilka","47","23445","51","22890","0","545","10"
"11","Muktsar","20","22574","18","22028","0","539","7"
"12","Kapurthala","55","22090","50","21502","1","583","5"
"13","Ropar","59","17997","40","17523","0","455","19"
"14","Ferozepur","32","17931","23","17383","0","537","11"
"15","Mansa","13","17241","6","16842","1","393","6"
"16","Faridkot","71","16854","45","16486","0","338","30"
"17","Sangrur","13","14322","5","13578","0","735","9"
"18","SBS Nagar","29","13431","31","13019","0","409","3"
"19","FG Sahib","45","11879","29","11509","0","354","16"
"20","Moga","15","11003","12","10743","1","255","5"
"21","Tarn Taran","14","10911","6","10511","0","394","6"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","9","3977","9","3800","0","176","1"
"","Total","2663","761734","2009","743259","17","17763","712"
