"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","66","61","483"
"Kollam","19","38","115"
"Pathanamthitta","19","14","131"
"Alappuzha","11","16","118"
"Kottayam","25","69","402"
"Idukki","16","23","91"
"Ernakulam","83","127","747"
"Thrissur","30","50","112"
"Palakkad","3","5","41"
"Malappuram","4","8","127"
"Kozhikode","20","27","199"
"Wayanad","3","8","62"
"Kannur","7","12","27"
"Kasaragod","4","0","25"
"Total","310","458","2680"
