"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235832","233089","85","2658"
"3","Chennai","752389","743102","219","9068"
"4","Coimbatore","330046","327401","28","2617"
"5","Cuddalore","74269","73372","2","895"
"6","Dharmapuri","36192","35908","1","283"
"7","Dindigul","37480","36815","0","665"
"8","Erode","132676","131940","2","734"
"9","Kallakurichi","36522","36306","1","215"
"10","Kancheepuram","94456","93142","12","1302"
"11","Kanyakumari","86237","85150","2","1085"
"12","Karur","29758","29385","1","372"
"13","Krishnagiri","59642","59271","1","370"
"14","Madurai","91054","89815","3","1236"
"15","Mayiladuthurai","26498","26167","1","330"
"16","Nagapattinam","25443","25068","0","375"
"17","Namakkal","68010","67476","0","534"
"18","Nilgiris","42135","41908","1","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34473","34046","1","426"
"21","Ramanathapuram","24682","24313","1","368"
"22","Ranipet","53931","53143","1","787"
"23","Salem","127401","125632","7","1762"
"24","Sivagangai","23838","23619","0","219"
"25","Tenkasi","32746","32256","0","490"
"26","Thanjavur","92168","91129","0","1039"
"27","Theni","50603","50070","0","533"
"28","Thirupathur","35738","35105","0","633"
"29","Thiruvallur","147532","145580","13","1939"
"30","Thiruvannamalai","66814","66128","1","685"
"31","Thiruvarur","48017","47545","0","472"
"32","Thoothukudi","64970","64521","1","448"
"33","Tirunelveli","62775","62330","0","445"
"34","Tiruppur","129940","128886","2","1052"
"35","Trichy","94972","93809","2","1161"
"36","Vellore","57323","56155","5","1163"
"37","Villupuram","54588","54222","0","366"
"38","Virudhunagar","56842","56285","3","554"
"39","Airport Surveillance 
(International)","1276","1270","5","1"
"40","Airport Surveillance 
(Domestic)","1114","1113","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,55,154","34,16,728","401","38,025"
