"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109775","14","107482","2279"
"2","SAS Nagar","95690","16","94526","1148"
"3","Jalandhar","78282","13","76691","1578"
"4","Patiala","62033","7","60569","1457"
"5","Amritsar","59394","6","57706","1682"
"6","Bathinda","50867","1","49778","1088"
"7","Hoshiarpur","40833","12","39725","1096"
"8","Gurdaspur","26939","2","26073","864"
"9","Pathankot","24535","17","24023","495"
"10","Fazilka","23387","5","22837","545"
"11","Muktsar","22549","1","22009","539"
"12","Kapurthala","22032","2","21451","579"
"13","Ropar","17938","3","17480","455"
"14","Ferozepur","17897","1","17359","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16779","8","16433","338"
"17","Sangrur","14308","1","13572","735"
"18","SBS Nagar","13401","8","12986","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","3","10730","254"
"21","Tarn Taran","10898","3","10501","394"
"22","Barnala","7495","5","7142","348"
"23","Malerkotla","3967","1","3790","176"
"","Total","759048","129","741179","17740"
