"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16899","16602","35","262"
"2","Chengalpattu","172890","169569","800","2521"
"3","Chennai","556408","546575","1255","8578"
"4","Coimbatore","248426","244812","1175","2439"
"5","Cuddalore","64294","63276","148","870"
"6","Dharmapuri","28652","28204","170","278"
"7","Dindigul","33160","32459","52","649"
"8","Erode","105274","103794","788","692"
"9","Kallakurichi","31502","31187","105","210"
"10","Kancheepuram","75320","73775","284","1261"
"11","Kanyakumari","62621","61383","187","1051"
"12","Karur","24370","23816","193","361"
"13","Krishnagiri","43730","43255","125","350"
"14","Madurai","75373","74062","132","1179"
"15","Mayiladuthurai","23325","22979","30","316"
"16","Nagapattinam","21207","20762","93","352"
"17","Namakkal","52860","51894","463","503"
"18","Nilgiris","33830","33424","193","213"
"19","Perambalur","12089","11826","19","244"
"20","Pudukottai","30275","29791","67","417"
"21","Ramanathapuram","20596","20217","20","359"
"22","Ranipet","43505","42690","40","775"
"23","Salem","100659","98413","554","1692"
"24","Sivagangai","20323","20027","88","208"
"25","Tenkasi","27380","26874","21","485"
"26","Thanjavur","75814","74488","342","984"
"27","Theni","43592","43058","13","521"
"28","Thirupathur","29358","28697","35","626"
"29","Thiruvallur","119833","117656","334","1843"
"30","Thiruvannamalai","55099","54345","86","668"
"31","Thiruvarur","41720","41080","188","452"
"32","Thoothukudi","56431","55940","82","409"
"33","Tirunelveli","49534","48985","116","433"
"34","Tiruppur","96318","94708","623","987"
"35","Trichy","78068","76623","377","1068"
"36","Vellore","50033","48776","123","1134"
"37","Villupuram","45960","45529","75","356"
"38","Virudhunagar","46360","45760","52","548"
"39","Airport Surveillance 
(International)","1031","1025","5","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,15,632","26,69,848","9,488","36,296"
