"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,488"
"2","Number of persons tested positive today in Tamil Nadu","800"
"","Passengers returned from other countries  by 
International airport tested positive today","UK – 1 
UAE - 1"
"","Total","802"
"3","Total Number of persons tested positive till date","27,15,632"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,070/ 
5,27,47,257@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,764/ 
5,18,18,972"
"6","No. of Male / Female / Transgender tested positive today","480/322/0"
"7","No. of Male / Female / Transgender tested positive till date","15,84,946/11,30,648/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","918/ 
26,69,848"
"10","Total number of deaths today/ till date","12(7 Private &  
5 Govt) /36,296)"
