"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","100","1059148","0","19563"
"2","Thane","2","118051","0","2287"
"3","TMC","9","189623","0","2163"
"4","Navi Mumbai","9","166826","0","2090"
"5","KDMC","0","176193","0","2973"
"6","Ulhasnagar MC","0","26525","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","0","76638","0","1227"
"9","Palghar","0","64666","0","1244"
"10","Vasai Virar MC","1","98950","0","2163"
"11","Raigad","1","138313","0","3463"
"12","Panvel MC","6","106059","0","1482"
"","Mumbai circle total","128","2234140","0","39830"
"13","Nashik","0","183745","0","3813"
