"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2353","112829","2086","109575","29","3008","246"
"2","SAS Nagar","4064","99753","3447","97980","15","1163","610"
"3","Jalandhar","1998","80263","1591","77929","9","1949","385"
"4","Patiala","1594","63674","1336","61719","4","1715","240"
"5","Amritsar","896","60451","727","58435","3","1843","173"
"6","Bathinda","1055","51922","856","50299","2","1425","198"
"7","Hoshiarpur","779","41921","609","40341","9","1409","171"
"8","Gurdaspur","261","27188","188","26261","3","867","60"
"9","Pathankot","394","24896","331","24346","2","519","31"
"10","Fazilka","289","23721","273","23076","0","621","24"
"11","Muktsar","158","22710","126","22136","0","539","35"
"12","Kapurthala","375","22404","284","21726","2","594","84"
"13","Ropar","733","18671","537","18020","4","459","192"
"14","Ferozepur","326","18219","244","17604","2","539","76"
"15","Mansa","163","17388","138","16974","1","393","21"
"16","Faridkot","292","17127","253","16674","3","413","40"
"17","Sangrur","231","14665","209","13782","3","863","20"
"18","SBS Nagar","307","13709","239","13227","0","409","73"
"19","FG Sahib","510","12425","437","11917","1","437","71"
"20","Moga","146","11145","99","10830","3","269","46"
"21","Tarn Taran","96","10996","66","10571","1","399","26"
"22","Barnala","138","7638","127","7265","2","359","14"
"23","Malerkotla","46","4049","40","3831","2","213","5"
"","Total","17204","777764","14243","754518","100","20405","2841"
