"Total No. of Sample Taken Today","12642"
"Total No. of Positive Cases Detected Today","611"
"Total Active COVID-19 Patients","3034"
"Total No. of Active Cases under Home Isolation (21-06-2022)","2976"
"Total No. of Samples found Positive till date","1010894"
"Total Positive COVID-19 Patients Recovered / Discharged till date","997216"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","16866 
(1st Dose: 1037 
2nd Dose: 5862 
Precaution Dose: 9967"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23561429 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19392569 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","889595"
"Cumulative Coverage of Total COVID-19 Vaccination","43843593"
"COVID-19 Today (21-06-2022) Positivity Rate","5.66%"
"Recovery Rate","98.65%"
"Fatality Rate","1.05%"
