"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","722","499","42922","35","4124","47046","574"
"Bageshwar","498","733","23328","16","2013","25341","576"
"Chamoli","758","808","26646","81","2806","29452","1273"
"Champawat","1390","542","34372","13","1731","36103","1463"
"Dehradun","9572","9447","244275","227","30750","275025","3245"
"Haridwar","4774","5190","242354","107","12247","254601","1254"
"Nainital","1236","1045","44084","48","10900","54984","551"
"Pauri Garhwal","1459","1226","46189","39","4894","51083","532"
"Pithoragarh","738","508","24521","23","2325","26846","871"
"Rudraprayag","294","548","17823","48","2572","20395","155"
"Tehri Garhwal","298","317","18307","19","2190","20497","634"
"US Nagar","1279","1745","84467","43","8531","92998","229"
"Uttarkashi","430","336","19251","14","1478","20729","393"
"Total","23448","22944","868539","713","86561","955100","11750"
