"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2438","112914","2233","109722","30","3009","183"
"2","SAS Nagar","4240","99929","3771","98304","15","1163","462"
"3","Jalandhar","2169","80434","1764","78102","11","1951","381"
"4","Patiala","1695","63775","1453","61836","6","1717","222"
"5","Amritsar","974","60529","784","58492","4","1844","193"
"6","Bathinda","1135","52002","971","50414","2","1425","163"
"7","Hoshiarpur","931","42073","720","40452","10","1410","211"
"8","Gurdaspur","273","27200","208","26281","3","867","52"
"9","Pathankot","414","24916","352","24367","3","520","29"
"10","Fazilka","298","23730","287","23090","0","621","19"
"11","Muktsar","170","22722","141","22151","0","539","32"
"12","Kapurthala","406","22435","331","21773","3","595","67"
"13","Ropar","791","18729","616","18099","4","459","171"
"14","Ferozepur","348","18241","292","17652","2","539","50"
"15","Mansa","166","17391","157","16993","1","393","5"
"16","Faridkot","311","17146","277","16698","3","413","35"
"17","Sangrur","243","14677","219","13792","4","864","21"
"18","SBS Nagar","334","13736","282","13270","0","409","57"
"19","FG Sahib","539","12454","478","11958","1","437","59"
"20","Moga","157","11156","120","10851","3","269","36"
"21","Tarn Taran","99","10999","68","10573","1","399","27"
"22","Barnala","150","7650","138","7276","3","360","14"
"23","Malerkotla","50","4053","44","3835","3","214","4"
"","Total","18331","778891","15706","755981","112","20417","2493"
