"","","","","","","","","","","","reasons#"
"","C
OVID-19 Vaccination Program Information:","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","66","35800","85","35064","401","1","335","0",""
"","2","Ballari","952","103053","171","96537","4827","0","1689","0",""
"","3","Belagavi","442","83994","189","79842","3202","0","950","0",""
"","4","Bengaluru Rural","974","68579","375","62356","5327","0","896","0",""
"","5","Bengaluru Urban","30540","1513024","13195","1294831","201714","8","16478","1",""
"","6","Bidar","311","26096","128","24430","1256","2","406","4",""
"","7","Chamarajanagara","384","34870","63","33056","1298","0","505","11",""
"","8","Chikkaballapura","522","47345","100","43913","2994","0","437","1",""
"","9","Chikkamagaluru","387","53729","89","51480","1851","0","398","0",""
"","10","Chitradurga","462","39004","82","36806","1984","0","214","0",""
"","11","Dakshina 
Kannada","974","125262","749","117749","5798","1","1708","7",""
"","12","Davanagere","152","52699","95","50872","1218","0","609","0",""
"","13","Dharwada","698","67382","800","62266","3787","0","1327","2",""
"","14","Gadag","289","27247","73","25971","955","1","321","0",""
"","15","Hassana","1840","123258","1315","113322","8667","1","1267","2",""
"","16","Haveri","65","22298","36","21420","235","0","643","0",""
"","17","Kalaburagi","658","66824","48","62269","3722","5","833","0",""
"","18","Kodagu","195","39121","147","37870","912","0","338","1",""
"","19","Kolara","511","51791","555","48066","3081","0","644","0",""
"","20","Koppala","348","36230","29","34854","848","0","528","0",""
"","21","Mandya","1512","82640","786","76998","4982","1","660","0",""
"","22","Mysuru","1352","193155","836","181100","9608","5","2447","0",""
"","23","Raichuru","329","41507","147","39891","1281","1","335","0",""
"","24","Ramanagara","150","26204","206","24368","1509","0","327","0",""
"","25","Shivamogga**","373","73054","218","69416","2546","0","1091","1",""
"","26","Tumakuru","1622","133191","377","121294","10746","2","1151","0",""
"","27","Udupi","767","83786","439","78203","5092","0","491","0",""
"","28","Uttara Kannada","611","60463","750","57404","2278","1","781","0",""
"","29","Vijayapura","188","37407","44","36114","796","0","497","0",""
"","30","Yadagiri","80","27904","16","27382","316","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","47754","3376953","22143","3045177","293231","29","38515","30",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
** Shivamogga has reported one Non COVID death (died due to suicidal poisoning was COVID positive). 
 
Date: 20-01-2022 
 Page 4 of 48","","","","","","","","","",""
"","","","","","","","","","","",""
