"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1627","1911","253343","103","12644","265987","862"
"Bageshwar","1254","739","220013","59","5916","225929","781"
"Chamoli","1019","849","300149","71","12450","312599","1038"
"Champawat","1150","1158","278022","35","7954","285976","1496"
"Dehradun","6412","5245","1961059","1224","119197","2080256","1797"
"Haridwar","8117","6947","2269508","426","53893","2323401","2995"
"Nainital","1955","1826","591666","431","41996","633662","640"
"Pauri Garhwal","1396","1323","424897","106","18527","443424","1679"
"Pithoragarh","1056","28","240702","44","10589","251291","2982"
"Rudraprayag","466","408","205665","20","8888","214553","749"
"Tehri Garhwal","665","439","311784","47","16103","327887","1334"
"US Nagar","3606","3135","991121","399","39386","1030507","1433"
"Uttarkashi","761","522","348300","40","12681","360981","984"
"Total","29484","24530","8396229","3005","360224","8756453","18770"
