"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2527","113003","2352","109841","31","3010","152"
"2","SAS Nagar","4386","100075","3964","98497","17","1165","413"
"3","Jalandhar","2265","80530","1937","78275","14","1954","301"
"4","Patiala","1754","63834","1573","61956","7","1718","160"
"5","Amritsar","1024","60579","872","58580","4","1844","155"
"6","Bathinda","1174","52041","1042","50485","2","1425","131"
"7","Hoshiarpur","981","42123","793","40525","11","1411","187"
"8","Gurdaspur","283","27210","223","26296","3","867","47"
"9","Pathankot","429","24931","365","24380","3","520","31"
"10","Fazilka","302","23734","296","23099","0","621","14"
"11","Muktsar","170","22722","141","22151","0","539","32"
"12","Kapurthala","422","22451","356","21798","3","595","58"
"13","Ropar","833","18771","704","18187","4","459","125"
"14","Ferozepur","368","18261","311","17671","3","540","50"
"15","Mansa","167","17392","159","16995","1","393","4"
"16","Faridkot","317","17152","286","16707","3","413","32"
"17","Sangrur","244","14678","219","13792","4","864","22"
"18","SBS Nagar","351","13753","313","13301","0","409","43"
"19","FG Sahib","563","12478","519","11999","1","437","42"
"20","Moga","173","11172","141","10872","3","269","31"
"21","Tarn Taran","105","11005","73","10578","1","399","28"
"22","Barnala","157","7657","147","7285","3","360","12"
"23","Malerkotla","50","4053","44","3835","3","214","4"
"","Total","19045","779605","16830","757105","121","20426","2074"
