"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1352","700340","34","14684"
"2","Thane","243","97064","2","1387"
"3","TMC","179","131376","0","1790"
"4","Navi Mumbai","124","107528","1","1562"
"5","KDMC","221","139288","0","1542"
"6","Ulhasnagar MC","57","20273","0","458"
"7","Bhivandi Nijampur MC","23","10778","0","436"
"8","Mira Bhayandar MC","163","53012","0","887"
"9","Palghar","430","44310","1","542"
"10","Vasai Virar MC","298","68378","1","1201"
"11","Raigad","619","82460","7","1658"
"12","Panvel MC","162","63272","4","1091"
"","Mumbai circle total","3871","1518079","50","27238"
"13","Nashik","795","145110","9","2037"
"14","Nashik MC","414","227220","10","2194"
"15","Malegaon MC","17","9866","1","234"
"16","Ahamadnagar","1922","181752","23","1900"
"17","Ahamadnagar MC","88","63637","2","966"
"18","Dhule","49","25110","0","274"
"19","Dhule MC","27","19302","0","235"
"20","Jalgaon","224","103549","8","1771"
"21","Jalgaon MC","50","32418","0","560"
"22","Nandurbar","48","38600","2","799"
"","Nashik Circle total","3634","846564","55","10970"
"23","Pune","1607","283130","42","3775"
"24","PMC","776","481957","12","6524"
"25","PCMC","594","241734","2","1667"
"26","Solapur","903","125838","39","2601"
