"","","","","","","","","","",""
"","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"","1","Bagalakote","0","40686","1","40318","0","0","368","0"
"","2","Ballari","2","115549","1","113755","28","0","1764","2"
"","3","Belagavi","2","100166","1","99148","13","0","1003","2"
"","4","Bengaluru Rural","0","79325","1","78410","8","0","907","0"
"","5","Bengaluru urban","716","1795454","409","1773834","4653","0","16966","1"
"","6","Bidar","0","29812","0","29388","0","0","420","4"
"","7","Chamarajanagara","0","43618","0","43083","0","0","524","11"
"","8","Chikkaballapura","0","55629","0","55168","0","0","460","1"
"","9","Chikkamagaluru","0","57262","1","56856","0","0","406","0"
"","10","Chitradurga","0","46385","0","46146","0","0","239","0"
"","11","Dakshina 
Kannada","7","135696","5","133810","35","0","1841","10"
"","12","Davanagere","0","57546","0","56921","2","0","623","0"
"","13","Dharwada","4","84124","0","82722","11","0","1384","7"
"","14","Gadag","0","30585","0","30249","0","0","336","0"
"","15","Hassana","0","143879","1","142569","1","0","1307","2"
"","16","Haveri","0","26842","0","26173","0","0","669","0"
"","17","Kalaburagi","0","76617","1","75733","3","0","881","0"
"","18","Kodagu","0","49264","0","48911","0","0","352","1"
"","19","Kolara","0","63026","0","62356","6","0","664","0"
"","20","Koppala","0","41282","0","40743","1","0","538","0"
"","21  Mandya","","0","101486","0","100775","0","0","711","0"
"","22  Mysuru","","8","229631","0","227045","27","0","2559","0"
"","23","Raichuru","0","45456","1","45092","0","0","364","0"
"","24","Ramanagara","0","29812","0","29464","1","0","347","0"
"","25","Shivamogga","5","83347","0","82206","12","0","1128","1"
"","26","Tumakuru","0","159866","0","158644","4","0","1218","0"
"","27","Udupi","6","95653","1","95093","14","0","546","0"
"","28","Uttara Kannada","0","71189","2","70374","6","0","809","0"
"","29","Vijayapura","0","41018","0","40497","0","0","521","0"
"","30","Yadagiri","0","29967","0","29755","0","0","212","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","750","3960208","425","3915271","4825","0","40070","42"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
Date: 18-06-2022 
Page 5 of 7","","","","","","","","","",""
