"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","3","18","71031","0","4907","75932","0"
"Bageshwar","4","1","39827","0","2161","41984","0"
"Chamoli","20","8","51973","0","3368","55339","0"
"Champawat","1","2","65659","0","1993","67649","0"
"Dehradun","297","278","421617","2","38922","460404","21"
"Haridwar","151","166","328658","5","14081","342709","9"
"Nainital","84","103","109702","0","13476","123108","4"
"Pauri Garhwal","5","18","109643","1","5596","115232","7"
"Pithoragarh","0","3","44766","0","2755","47509","0"
"Rudraprayag","9","1","31698","0","3060","34758","0"
"Tehri Garhwal","66","43","50613","0","2624","53230","4"
"US Nagar","118","42","163950","0","9332","173258","7"
"Uttarkashi","20","101","47888","1","1924","49810","0"
"Total","778","784","1537025","9","104199","1640922","52"
