"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","2","0","2027","16","3","0"
"East Jaintia Hills","1","1","0","2594","35","11","0"
"East Khasi Hills","8","22","0","46977","1067","73","28"
"Eastern West Khasi Hills","0","1","0","137","6","10","0"
"North Garo Hills","1","0","0","1852","9","16","0"
"Ri-Bhoi","1","4","0","10260","96","24","1"
"South Garo Hills","0","0","0","1332","12","1","0"
"South West Garo Hills","1","2","0","2081","20","14","1"
"South West Khasi Hills","1","1","0","2680","19","5","0"
"West Garo Hills","2","8","0","10674","79","32","1"
"West Jaintia Hills","1","4","0","7145","139","23","1"
"West Khasi Hills","0","0","0","5628","75","9","0"
"Total","16","45","0","93387","1573","221","32"
