,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7690,7558,129,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,564113,297471,266642,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,143,2372,2515,2,3,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2073852,2057369,14453,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,61976750,36184940,25791810,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,292413,204993,497406,122,213,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55294,54979,280,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,1418139,797656,620483,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,641,2312,2953,1,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,617758,609088,6126,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,34347936,21512286,12835650,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,26847,135996,162843,182,122,6,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726244,714126,12090,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,86339998,55384154,30955844,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,118615,511267,629882,7,5,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65500,64618,820,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,1603744,948126,655618,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,1321,4512,5833,12,8,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1007011,993081,13593,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,26898546,16819391,10079155,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,52511,87540,140051,44,37,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10683,10679,4,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,1129206,677938,451268,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,1165,3389,4554,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1441398,1415955,25099,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,23451941,14156155,9295786,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,68810,104106,172916,40,65,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,179209,175409,3387,2021-12-07,TT,34648383,473757,34079612,2021-12-07 11:25:51.310680,649447014,2021-12-06 00:00:00,1187947,1287743383,804192454,483550929,2337387,1288022,1049365,https://www.icmr.gov.in/,6822,220,10004,5712305,2431356,8143661,1293,4209,5502,35,34,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363445.4285714286,1340166.5714285714,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
