"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,654"
"2","Number of persons tested positive today in Tamil Nadu","728"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 5"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal – 5 
Bihar - 1"
"","Total","739"
"3","Total Number of persons tested positive till date","27,46,000"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,897/ 
5,72,34,367@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,692/ 
5,62,95,167"
"6","No. of Male / Female / Transgender tested positive today","424/315/0"
"7","No. of Male / Female / Transgender tested positive till date","16,02,806/11,43,156/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","614/ 
27,02,588"
"10","Total number of deaths today/ till date","8(3 Private &  
5 Govt) /36,758)"
