"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2053","112529","1747","109236","25","3004","289"
"2","SAS Nagar","3452","99141","2713","97246","13","1161","734"
"3","Jalandhar","1605","79870","1141","77479","8","1948","443"
"4","Patiala","1330","63410","1100","61483","3","1714","213"
"5","Amritsar","720","60275","537","58245","3","1843","187"
"6","Bathinda","889","51756","661","50104","1","1424","228"
"7","Hoshiarpur","549","41691","378","40110","6","1406","175"
"8","Gurdaspur","218","27145","163","26236","2","866","43"
"9","Pathankot","360","24862","275","24290","0","517","55"
"10","Fazilka","254","23686","220","23023","0","621","42"
"11","Muktsar","117","22669","92","22102","0","539","28"
"12","Kapurthala","293","22322","204","21646","1","593","83"
"13","Ropar","540","18478","353","17836","2","457","185"
"14","Ferozepur","252","18145","181","17541","2","539","65"
"15","Mansa","138","17363","128","16964","1","393","6"
"16","Faridkot","255","17090","207","16628","3","413","49"
"17","Sangrur","209","14643","171","13744","2","862","37"
"18","SBS Nagar","227","13629","167","13155","0","409","65"
"19","FG Sahib","417","12332","349","11829","1","437","66"
"20","Moga","95","11094","69","10800","3","269","25"
"21","Tarn Taran","68","10968","45","10550","1","399","19"
"22","Barnala","111","7611","96","7234","0","357","20"
"23","Malerkotla","40","4044","35","3826","2","214","4"
"","Total","14192","774753","11032","751307","79","20385","3061"
