"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","90739","2932","85683","2124"
"2","SAS Nagar","72388","3221","68090","1077"
"3","Jalandhar","65433","1615","62315","1503"
"4","Patiala","54010","4162","48476","1372"
"5","Amritsar","48957","1430","45927","1600"
"6","Bathinda","42691","833","40807","1051"
"7","Hoshiarpur","31781","721","30060","1000"
"8","Gurdaspur","22949","456","21687","806"
"9","Pathankot","20597","1314","18848","435"
"10","Fazilka","20406","114","19761","531"
"11","Muktsar","18867","55","18287","525"
"12","Kapurthala","18226","267","17403","556"
"13","Sangrur","15976","192","14906","878"
"14","Mansa","15686","74","15231","381"
"15","Ferozepur","14762","275","13983","504"
"16","Faridkot","14148","182","13645","321"
"17","Ropar","13371","342","12601","428"
"18","SBS Nagar","11630","132","11108","390"
"19","FG Sahib","9524","590","8596","338"
"20","Moga","8859","164","8461","234"
"21","Tarn Taran","8281","200","7700","381"
"22","Barnala","6066","108","5710","248"
"","Total","625347","19379","589285","16683"
