"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2737","113213","2506","109995","34","3013","205"
"2","SAS Nagar","4738","100427","4315","98848","18","1166","413"
"3","Jalandhar","2459","80724","2185","78523","20","1960","241"
"4","Patiala","1895","63975","1736","62119","9","1720","136"
"5","Amritsar","1145","60700","1020","58728","5","1845","127"
"6","Bathinda","1272","52139","1165","50608","2","1425","106"
"7","Hoshiarpur","1074","42183","949","40681","12","1412","90"
"8","Gurdaspur","297","27224","258","26331","3","867","26"
"9","Pathankot","453","24955","396","24411","4","521","23"
"10","Fazilka","346","23778","309","23112","0","621","45"
"11","Muktsar","209","22761","171","22181","1","540","40"
"12","Kapurthala","469","22498","419","21861","4","596","41"
"13","Ropar","917","18855","823","18306","4","459","90"
"14","Ferozepur","398","18291","351","17711","3","540","40"
"15","Mansa","171","17396","165","17001","1","393","2"
"16","Faridkot","347","17182","318","16739","3","413","30"
"17","Sangrur","254","14688","243","13816","5","865","7"
"18","SBS Nagar","389","13791","357","13345","0","409","37"
"19","FG Sahib","613","12528","572","12052","1","437","39"
"20","Moga","196","11195","169","10900","4","270","25"
"21","Tarn Taran","113","11013","95","10600","1","399","14"
"22","Barnala","173","7673","162","7300","4","361","12"
"23","Malerkotla","55","4058","47","3838","3","214","6"
"","Total","20720","781247","18731","759006","141","20446","1795"
