"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","374","817","3755"
"Kollam","103","112","991"
"Pathanamthitta","63","127","241"
"Alappuzha","55","157","212"
"Kottayam","96","347","2648"
"Idukki","70","86","1206"
"Ernakulam","292","324","3993"
"Thrissur","119","261","1910"
"Palakkad","73","90","618"
"Malappuram","115","107","1434"
"Kozhikode","256","523","2996"
"Wayanad","30","128","818"
"Kannur","150","228","1082"
"Kasaragod","28","57","787"
"Total","1824","3364","22691"
