"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","108535","2325","103980","2230"
"2","SAS Nagar","93811","3383","89303","1125"
"3","Jalandhar","77141","1567","74018","1556"
"4","Patiala","61649","326","59884","1439"
"5","Amritsar","58633","1194","55776","1663"
"6","Bathinda","50193","1127","47992","1074"
"7","Hoshiarpur","39932","1120","37754","1058"
"8","Gurdaspur","26626","498","25275","853"
"9","Pathankot","23934","439","23030","465"
"10","Fazilka","22787","1233","21018","536"
"11","Kapurthala","21618","444","20607","567"
"12","Muktsar","21481","579","20368","534"
"13","Sangrur","18152","156","17094","902"
"14","Ropar","17595","556","16602","437"
"15","Ferozepur","17481","381","16578","522"
"16","Mansa","17136","183","16563","390"
"17","Faridkot","16362","491","15541","330"
"18","SBS Nagar","13344","183","12765","396"
"19","FG Sahib","11690","208","11129","353"
"20","Moga","10736","591","9897","248"
"21","Tarn Taran","10662","611","9663","388"
"22","Barnala","7339","155","6930","254"
"","Total","746837","17750","711767","17320"
