"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
06-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","18","181783","180773[10]","99.44","924","86","3415","9767","3920623"
"2","Faridabad","3","99972","99219[1]","99.25","717","36","2514","9604","2792326"
"3","Hisar","0","54002","52862","97.89","1136","4","2201","10168","1473484"
"4","Sonepat","0","47145","46889","99.46","254","2","1100","4068","1573324"
"5","Karnal","0","40045","39489","98.61","552","4","1411","5166","1617718"
"6","Panipat","0","31155","30515","97.95","638","2","2492","7140","1300974"
"7","Panchkula","0","30843","30449[1]","98.72","379","15","510","2347","809495"
"8","Ambala","0","30152","29641","98.31","509","2","824","5695","1606917"
"9","Sirsa","7","29294","28775","98.23","508","11","2512","7089","1235935"
"10","Rohtak","0","25917","25364","97.87","534","2","1135","4300","1116962"
"11","Yamunanagar","2","24651","24226[1]","98.28","414","11","850","5945","1276129"
"12","Bhiwani","0","22410","21758","97.09","652","0","748","7784","1258756"
"13","Kurukshetra","0","22154","21795","98.38","357","2","833","3921","957665"
"14","Mahindergarh","0","21689","21534","99.29","155","0","791","3602","951611"
"15","Jind","0","21210","20677","97.49","533","0","1003","5081","1094401"
"16","Rewari","0","20329","20108","98.91","221","0","800","5445","1080423"
"17","Jhajjar","0","18850","18516","98.23","328","0","1037","3786","1110987"
"18","Fatehabad","0","17880","17398","97.30","482","0","565","2571","847462"
"19","Kaithal","1","11248","10900","96.91","346","2","1066","5010","993377"
"20","Palwal","1","11029","10875","98.60","153","1","2513","5508","998284"
"21","Charkhi Dadri","0","5079","4940[1]","97.26","139","0","287","1871","680760"
"22","Nuh","0","5014","4891","97.55","123","0","3803","1024","733300"
"Total","","32","771851","761594[14]","98.67","10054","180","32410","116892","29430913"
