"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","139","1060255","0","19563"
"2","Thane","0","118058","0","2288"
"3","TMC","15","189736","0","2163"
"4","Navi Mumbai","6","166895","0","2090"
"5","KDMC","3","176204","0","2973"
"6","Ulhasnagar MC","0","26525","0","680"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","1","76651","0","1227"
"9","Palghar","0","64668","0","1244"
"10","Vasai Virar MC","1","98960","0","2163"
"11","Raigad","1","138320","0","3463"
"12","Panvel MC","4","106086","0","1482"
"","Mumbai circle total","170","2235506","0","39832"
"13","Nashik","0","183748","0","3813"
"14","Nashik MC","0","278106","0","4752"
