"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","499"
"2","Number of persons tested positive today in Tamil Nadu","87"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia-1 & 
 Singapore -1"
"","Total","89$"
"3","Total Number of persons tested positive till date","34,54,306"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,319/ 
6,62,82,673@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,298/ 
6,51,05,740"
"6","No. of Male / Female / Transgender tested positive today","44/45/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,949/14,38,319/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","64/ 
34,15,782"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
