"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109381","670","106454","2257"
"2","SAS Nagar","94947","894","92914","1139"
"3","Jalandhar","77800","612","75624","1564"
"4","Patiala","61845","136","60253","1456"
"5","Amritsar","59077","232","57169","1676"
"6","Bathinda","50577","290","49207","1080"
"7","Hoshiarpur","40488","479","38928","1081"
"8","Gurdaspur","26814","137","25818","859"
"9","Pathankot","24217","193","23541","483"
"10","Fazilka","23136","869","21723","544"
"11","Muktsar","22387","161","21691","535"
"12","Kapurthala","21871","143","21150","578"
"13","Ropar","17824","189","17185","450"
"14","Ferozepur","17734","110","17095","529"
"15","Mansa","17205","59","16755","391"
"16","Faridkot","16561","113","16113","335"
"17","Sangrur","13988","22","13249","717"
"18","SBS Nagar","13344","38","12905","401"
"19","FG Sahib","11785","57","11375","353"
"20","Moga","10911","138","10520","253"
"21","Tarn Taran","10796","150","10256","390"
"22","Barnala","7415","71","7051","293"
"23","Malerkotla","4264","8","4066","190"
"","Total","754367","5771","731042","17554"
