,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2023-11-05,TT,Andaman and Nicobar Islands,,,,10766,129,10637,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
1,2023-11-05,TT,Andhra Pradesh,,,,2340677,14733,2325944,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
2,2023-11-05,TT,Arunachal Pradesh,,,,67049,296,66753,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
3,2023-11-05,TT,Assam,,,,746164,8035,738129,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
4,2023-11-05,TT,Bihar,,,,855267,12314,842953,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
5,2023-11-05,TT,Chandigarh,,,,100698,1185,99512,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
6,2023-11-05,TT,Chhattisgarh,,,,1187697,14190,1173507,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
7,2023-11-05,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11592,4,11588,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
8,2023-11-05,TT,Delhi,,,,2041109,26666,2014440,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
9,2023-11-05,TT,Goa,,,,263373,4014,259356,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
10,2023-11-05,TT,Gujarat,,,,1291448,11079,1280355,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
11,2023-11-05,TT,Haryana,,,,1078965,10779,1068184,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
12,2023-11-05,TT,Himachal Pradesh,,,,322943,4245,318697,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
13,2023-11-05,TT,Jammu and Kashmir,,,,482034,4792,477242,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
14,2023-11-05,TT,Jharkhand,,,,443831,5334,438497,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
15,2023-11-05,TT,Karnataka,,,,4088910,40359,4048542,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
16,2023-11-05,TT,Kerala,,,,6907426,72043,6835354,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
17,2023-11-05,TT,Ladakh,,,,29603,231,29372,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
18,2023-11-05,TT,Lakshadweep,,,,11415,52,11363,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
19,2023-11-05,TT,Maharashtra,,,,8171916,148563,8023327,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
20,2023-11-05,TT,Manipur,,,,140034,2149,137885,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
21,2023-11-05,TT,Meghalaya,,,,96990,1628,95361,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
22,2023-11-05,TT,Mizoram,,,,239562,734,238828,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
23,2023-11-05,TT,Madhya Pradesh,,,,1056554,10786,1045768,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
24,2023-11-05,TT,Nagaland,,,,36033,782,35251,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
25,2023-11-05,TT,Odisha,,,,1348434,9215,1339164,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
26,2023-11-05,TT,Puducherry,,,,177548,1981,175567,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
27,2023-11-05,TT,Punjab,,,,793669,20569,773100,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
28,2023-11-05,TT,Rajasthan,,,,1326466,9736,1316730,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
29,2023-11-05,TT,Sikkim,,,,44931,501,44430,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
30,2023-11-05,TT,Tamil Nadu,,,,3610726,38081,3572636,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
31,2023-11-05,TT,Telangana,,,,844480,4111,840361,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
32,2023-11-05,TT,Tripura,,,,108495,942,107553,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
33,2023-11-05,TT,Uttar Pradesh,,,,2145496,23713,2121723,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
34,2023-11-05,TT,Uttarakhand,,,,452588,7768,444820,,,2023-11-05 17:57:24.612387,,,,45001376,533294,44467852,935879495,2206775505
