,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10751,10622,129,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,991263,347616,353284,290363,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339093,2324356,14733,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,110956255,44704006,47578541,18673708,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,9,4,6,19,2,1,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66595,296,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,1924518,961347,821814,141357,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746100,738065,8035,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,50329769,24812811,22146472,3370486,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,27,237,62,326,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851425,839119,12303,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,157264074,73481173,67902890,15880011,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,133,241,479,853,1,1,0,,,1332900000,Bihar,119520000
5,Chandigarh,99367,98182,1182,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,2287584,1185483,988149,113952,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,6,50,27,83,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177797,1163643,14146,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,49167446,21267642,20343637,7556167,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,1,1,2,4,1,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,1579673,782328,636931,160414,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,1,3,6,10,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2007553,1981007,26523,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,37401730,18295806,15715408,3390516,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,30,44,109,183,15,10,0,,,1332900000,Delhi,19814000
9,Goa,259154,255130,4013,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,2874268,1440021,1295703,138544,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,1,0,1,2,3,1,0,,,1332900000,Goa,1540000
10,Gujarat,1277719,1266633,11046,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,128084191,54396424,54029391,19658376,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,68,94,461,623,8,1,0,,,1332900000,Gujarat,67936000
11,Haryana,1056744,1045993,10714,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,45509809,23678004,19837947,1993858,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,39,73,124,236,3,3,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312783,308524,4213,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,15322401,6646431,6327364,2348606,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,1,11,75,87,9,3,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479495,474689,4785,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,24781959,11372533,11768086,1641340,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,4,1,4,9,2,5,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442577,437246,5331,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,43857456,23967125,17851928,2038403,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,48,287,227,562,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4074040,4033365,40311,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,122145034,55173853,55390664,11580517,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,7,22,22,51,74,27,0,,,1332900000,Karnataka,65798000
16,Kerala,6830954,6757983,71588,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,57502428,29149999,25269114,3083315,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,23,108,70,201,58,45,1,,,1332900000,Kerala,35125000
17,Ladakh,29423,29191,231,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,567114,238303,204097,124714,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,0,0,0,0,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,145260,61813,60521,22926,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,0,1,3,4,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8137776,7989095,148423,2023-03-04,TT,44687496,530775,44154035,2023-03-04 12:00:03.464235,919095823,2023-03-03 00:00:00,103170,2206388451,1027377702,951891196,227119553,177937354,91668490,76619826,9649038,https://www.icmr.gov.in/,334,3,170,3597,2317,766,6680,136,435,347,918,66,30,2,,,1332900000,Maharashtra,122153000
