,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,991264,347616,353285,290363,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325938,14733,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,110957220,44704330,47578776,18674114,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,3,3,0,1,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67039,66740,296,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,1924584,961348,821819,141417,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,0,0,0,1,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855244,842915,12314,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,157289432,73485497,67912242,15891693,https://www.icmr.gov.in/,80,1,181,360,67,69,496,4,3,45,52,3,5,0,,,1332900000,Bihar,119520000
5,Chandigarh,100686,99498,1185,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,2291279,1185679,991050,114550,https://www.icmr.gov.in/,80,1,181,360,67,69,496,1,0,4,5,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187670,1173469,14189,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,49167904,21267786,20343751,7556367,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,2,1,3,4,7,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,1580040,782352,636962,160726,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040742,2014055,26663,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,37408500,18297530,15717293,3393677,https://www.icmr.gov.in/,80,1,181,360,67,69,496,7,1,3,11,6,9,0,,,1332900000,Delhi,19814000
9,Goa,263251,259192,4014,2023-06-13,TT,44992960,531892,44458820,2023-06-23 01:29:39.156319,931454044,2023-06-12 00:00:00,71137,2206704154,1027410720,951977714,227315720,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,80,1,181,360,67,69,496,0,0,0,0,3,11,0,,,1332900000,Goa,1540000
