"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109616","131","107213","2272"
"2","SAS Nagar","95446","268","94037","1141"
"3","Jalandhar","78092","118","76400","1574"
"4","Patiala","61945","48","60441","1456"
"5","Amritsar","59314","16","57617","1681"
"6","Bathinda","50766","90","49589","1087"
"7","Hoshiarpur","40681","97","39493","1091"
"8","Gurdaspur","26886","42","25982","862"
"9","Pathankot","24426","102","23836","488"
"10","Fazilka","23301","85","22672","544"
"11","Muktsar","22514","50","21926","538"
"12","Kapurthala","21971","56","21336","579"
"13","Ropar","17900","19","17428","453"
"14","Ferozepur","17832","28","17274","530"
"15","Mansa","17220","4","16825","391"
"16","Faridkot","16689","34","16317","338"
"17","Sangrur","14302","9","13558","735"
"18","SBS Nagar","13377","12","12960","405"
"19","FG Sahib","11815","7","11454","354"
"20","Moga","10970","15","10701","254"
"21","Tarn Taran","10862","44","10424","394"
"22","Barnala","7469","38","7092","339"
"23","Malerkotla","3964","3","3785","176"
"","Total","757358","1316","738360","17682"
