"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87664","16","85538","2110"
"2","SAS Nagar","68948","38","67838","1072"
"3","Jalandhar","63487","30","61959","1498"
"4","Patiala","48972","22","47588","1362"
"5","Amritsar","47430","6","45826","1598"
"6","Bathinda","41777","13","40718","1046"
"7","Hoshiarpur","30939","54","29892","993"
"8","Gurdaspur","22402","8","21592","802"
"9","Fazilka","20281","5","19747","529"
"10","Pathankot","18943","51","18466","426"
"11","Muktsar","18800","16","18260","524"
"12","Kapurthala","17868","3","17309","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14389","14","13871","504"
"16","Faridkot","13944","4","13621","319"
"17","Ropar","12981","6","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8904","15","8553","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8063","11","7671","381"
"22","Barnala","5954","8","5702","244"
"","Total","603279","325","586352","16602"
