"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235378","232651","69","2658"
"3","Chennai","750900","741618","214","9068"
"4","Coimbatore","329895","327221","57","2617"
"5","Cuddalore","74246","73339","12","895"
"6","Dharmapuri","36191","35896","12","283"
"7","Dindigul","37477","36808","4","665"
"8","Erode","132665","131918","13","734"
"9","Kallakurichi","36521","36301","5","215"
"10","Kancheepuram","94380","93051","27","1302"
"11","Kanyakumari","86208","85115","8","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59627","59247","10","370"
"14","Madurai","91029","89789","4","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25440","25062","3","375"
"17","Namakkal","68000","67459","7","534"
"18","Nilgiris","42114","41868","20","226"
"19","Perambalur","14461","14211","1","249"
"20","Pudukottai","34463","34034","3","426"
"21","Ramanathapuram","24674","24299","7","368"
"22","Ranipet","53913","53125","1","787"
"23","Salem","127360","125591","7","1762"
"24","Sivagangai","23820","23595","6","219"
"25","Tenkasi","32744","32251","3","490"
"26","Thanjavur","92131","91073","19","1039"
"27","Theni","50599","50062","4","533"
"28","Thirupathur","35732","35097","2","633"
"29","Thiruvallur","147436","145472","25","1939"
"30","Thiruvannamalai","66809","66116","8","685"
"31","Thiruvarur","48009","47535","2","472"
"32","Thoothukudi","64950","64496","6","448"
"33","Tirunelveli","62762","62311","6","445"
"34","Tiruppur","129919","128854","13","1052"
"35","Trichy","94934","93768","5","1161"
"36","Vellore","57284","56100","21","1163"
"37","Villupuram","54580","54214","0","366"
"38","Virudhunagar","56829","56264","11","554"
"39","Airport Surveillance 
(International)","1247","1241","5","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,390","34,13,745","620","38,025"
