"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87694","30","85551","2113"
"2","SAS Nagar","69026","76","67877","1073"
"3","Jalandhar","63524","27","61997","1500"
"4","Patiala","48994","20","47612","1362"
"5","Amritsar","47436","2","45835","1599"
"6","Bathinda","41807","29","40731","1047"
"7","Hoshiarpur","30972","58","29920","994"
"8","Gurdaspur","22410","6","21601","803"
"9","Fazilka","20282","0","19752","530"
"10","Pathankot","18974","27","18518","429"
"11","Muktsar","18803","3","18276","524"
"12","Kapurthala","17873","5","17312","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14467","76","13887","504"
"16","Faridkot","13951","6","13626","319"
"17","Ropar","12994","11","12558","425"
"18","SBS Nagar","11474","2","11084","388"
"19","FG Sahib","8906","2","8568","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8069","6","7682","381"
"22","Barnala","5955","6","5705","244"
"","Total","603674","397","586660","16617"
