"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1884","112360","1528","109017","23","3002","341"
"2","SAS Nagar","3120","98809","2396","96929","11","1159","721"
"3","Jalandhar","1374","79639","949","77287","6","1946","406"
"4","Patiala","1184","63264","933","61316","3","1714","234"
"5","Amritsar","631","60186","462","58170","2","1842","174"
"6","Bathinda","785","51652","569","50012","1","1424","216"
"7","Hoshiarpur","432","41574","275","40007","5","1405","162"
"8","Gurdaspur","190","27117","129","26202","2","866","49"
"9","Pathankot","345","24849","224","24239","0","517","93"
"10","Fazilka","226","23658","174","22977","0","621","60"
"11","Muktsar","108","22660","81","22091","0","539","30"
"12","Kapurthala","240","22269","165","21607","1","593","69"
"13","Ropar","433","18371","294","17777","1","456","138"
"14","Ferozepur","208","18101","161","17521","2","539","41"
"15","Mansa","132","17357","119","16955","1","393","9"
"16","Faridkot","223","17058","193","16614","3","413","31"
"17","Sangrur","189","14623","131","13704","2","862","57"
"18","SBS Nagar","186","13588","155","13143","0","409","36"
"19","FG Sahib","372","12287","292","11772","1","437","78"
"20","Moga","73","11072","63","10794","3","269","9"
"21","Tarn Taran","63","10963","42","10547","0","398","18"
"22","Barnala","95","7595","84","7222","0","357","16"
"23","Malerkotla","37","4041","32","3823","2","214","4"
"","Total","12530","773093","9451","749726","69","20375","2992"
