"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","338","38825","178","36326","2153","4","346","0"
"2","Ballari","964","111228","786","103648","5873","7","1707","0"
"3","Belagavi","619","90817","93","83400","6448","2","969","0"
"4","Bengaluru Rural","453","77360","1204","71632","4825","0","903","0"
"5","Bengaluru Urban","11938","1710198","10454","1561445","132171","14","16581","1"
"6","Bidar","111","28781","357","27269","1101","0","407","4"
"7","Chamarajanagara","554","41177","633","35876","4777","2","513","11"
"8","Chikkaballapura","334","53848","488","48731","4672","0","444","1"
"9","Chikkamagaluru","201","56017","330","53927","1690","0","400","0"
"10","Chitradurga","360","43193","378","40610","2362","3","221","0"
"11","Dakshina 
Kannada","419","132174","791","126010","4413","7","1744","7"
"12","Davanagere","239","56370","479","54099","1660","0","611","0"
"13","Dharwada","1356","79230","915","71463","6433","1","1332","2"
"14","Gadag","146","29661","239","27746","1588","1","327","0"
"15","Hassana","859","139440","1017","130922","7229","1","1287","2"
"16","Haveri","409","24727","93","22580","1495","2","652","0"
"17","Kalaburagi","564","73824","1025","67876","5095","2","853","0"
"18","Kodagu","633","45466","526","41580","3542","0","343","1"
"19","Kolara","422","61083","1394","55287","5150","0","646","0"
"20","Koppala","321","39633","423","37029","2074","0","530","0"
"21","Mandya","953","97645","580","90466","6508","2","671","0"
"22","Mysuru","2322","220643","1615","206204","11947","10","2492","0"
"23","Raichuru","306","44220","321","42171","1705","2","344","0"
"24","Ramanagara","246","28980","266","27403","1239","1","338","0"
"25","Shivamogga","530","78453","766","73239","4110","1","1103","1"
"26","Tumakuru","1165","153479","2075","142518","9790","4","1171","0"
"27","Udupi","441","92685","1108","87203","4975","0","507","0"
"28","Uttara Kannada","780","67328","260","62836","3701","2","791","0"
"29","Vijayapura","159","39569","348","37784","1285","0","500","0"
"30","Yadagiri","122","29205","102","27926","1073","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","28264","3785295","29244","3495239","251084","68","38942","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 30-01-2022 
 Page 5 of 63","","","","","","","","",""
