"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20189","19908","14","267"
"2","Chengalpattu","250791","247762","371","2658"
"3","Chennai","786392","774844","2479","9069"
"4","Coimbatore","337980","334729","633","2618"
"5","Cuddalore","75457","74446","116","895"
"6","Dharmapuri","36683","36339","61","283"
"7","Dindigul","38609","37868","76","665"
"8","Erode","135196","134142","320","734"
"9","Kallakurichi","36895","36678","2","215"
"10","Kancheepuram","97628","96277","49","1302"
"11","Kanyakumari","89002","87769","148","1085"
"12","Karur","30129","29721","36","372"
"13","Krishnagiri","61372","60744","257","371"
"14","Madurai","92780","91445","99","1236"
"15","Mayiladuthurai","27169","26745","94","330"
"16","Nagapattinam","25870","25462","33","375"
"17","Namakkal","69326","68681","111","534"
"18","Nilgiris","42693","42446","21","226"
"19","Perambalur","14878","14592","37","249"
"20","Pudukottai","35119","34672","21","426"
"21","Ramanathapuram","24966","24586","12","368"
"22","Ranipet","55866","55054","25","787"
"23","Salem","130479","128470","247","1762"
"24","Sivagangai","24895","24616","60","219"
"25","Tenkasi","33783","33259","34","490"
"26","Thanjavur","93306","92175","91","1040"
"27","Theni","51744","51185","26","533"
"28","Thirupathur","35964","35299","32","633"
"29","Thiruvallur","152639","150613","86","1940"
"30","Thiruvannamalai","68026","67304","37","685"
"31","Thiruvarur","48858","48334","51","473"
"32","Thoothukudi","66977","66484","45","448"
"33","Tirunelveli","65542","64991","106","445"
"34","Tiruppur","131386","130187","147","1052"
"35","Trichy","97544","96271","112","1161"
"36","Vellore","57917","56706","48","1163"
"37","Villupuram","55979","55570","42","367"
"38","Virudhunagar","59089","58489","45","555"
"39","Airport Surveillance 
(International)","1387","1384","2","1"
"40","Airport Surveillance 
(Domestic)","1159","1155","3","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,62,092","35,17,830","6,229","38,033"
