"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4793","4335","34","4","420"
"Bageshwar","2152","2040","10","0","102"
"Chamoli","3319","3175","22","3","119"
"Champawat","1974","1946","2","2","24"
"Dehradun","37881","36760","494","197","430"
"Haridwar","13894","13554","70","29","241"
"Nainital","12632","12341","205","31","55"
"Pauri Garhwal","5520","4456","38","20","1006"
"Pithoragarh","2649","2483","11","4","151"
"Rudraprayag","2956","2788","30","2","136"
"Tehri Garhwal","2585","2118","14","7","446"
"U.S. Nagar","9196","8830","39","6","321"
"Uttarkashi","1876","1675","9","6","186"
"Total","101427","96501","978","311","3637"
