"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","13,890"
"2","Number of persons tested positive today in Tamil Nadu","1,709"
"","Passengers returned from other Country & other  states  
by Road tested positive today","Bangladesh-1 
Andhra Pradesh-2"
"","Total","1,712"
"3","Total Number of persons tested positive till date","35,39,607"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","36,028/ 
6,80,46,652@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","35,326/ 
6,68,45,752"
"6","No. of Male / Female / Transgender tested positive today","1,020/692/0"
"7","No. of Male / Female / Transgender tested positive till date","20,63,692/14,75,877/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,106/ 
34,87,685"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
