"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
24-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181661","180662[8]","99.45","924","75","2290","8451","3795112"
"2","Faridabad","6","99929","99201[1]","99.27","716","12","2677","7219","2671765"
"3","Hisar","0","53996","52860","97.90","1136","0","749","2906","1401071"
"4","Sonepat","0","47139","46885","99.46","254","0","1260","5070","1501791"
"5","Karnal","1","40041","39487","98.62","552","2","1285","4196","1549537"
"6","Panipat","0","31153","30515","97.95","638","0","1340","4264","1214044"
"7","Panchkula","4","30815","30409","98.68","379","27","337","2180","784700"
"8","Ambala","0","30150","29641","98.31","509","0","607","5654","1544699"
"9","Sirsa","0","29283","28774","98.26","508","1","1647","4080","1161562"
"10","Rohtak","0","25915","25362","97.87","534","2","1195","3882","1063861"
"11","Yamunanagar","1","24638","24221","98.31","414","3","478","2835","1227209"
"12","Bhiwani","0","22409","21757","97.09","652","0","1055","6248","1175389"
"13","Kurukshetra","0","22152","21793","98.38","357","2","832","3439","914205"
"14","Mahindergarh","0","21689","21534","99.29","155","0","845","2939","911754"
"15","Jind","0","21210","20676","97.48","533","1","1043","2946","1036827"
"16","Rewari","0","20329","20108","98.91","221","0","1179","4175","1019284"
"17","Jhajjar","0","18850","18516","98.23","328","0","883","4406","1068011"
"18","Fatehabad","0","17880","17395","97.29","482","3","416","1805","817570"
"19","Kaithal","0","11246","10899","96.91","346","1","2242","5570","929722"
"20","Palwal","2","11028","10873","98.59","153","2","3434","4509","916841"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","309","2014","655819"
"22","Nuh","0","5014","4891","97.55","123","0","16077","2155","610841"
"Total","","23","771605","761398[9]","98.68","10053","131","42180","90943","27971614"
