"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1648","1098461","2","19588"
"2","Thane","45","118940","0","2289"
"3","TMC","263","194617","0","2164"
"4","Navi Mumbai","328","171893","0","2090"
"5","KDMC","74","177394","0","2974"
"6","Ulhasnagar MC","8","26685","0","680"
"7","Bhivandi Nijampur MC","7","13202","0","496"
"8","Mira Bhayandar MC","29","77880","0","1227"
