"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109466","325","106880","2261"
"2","SAS Nagar","95159","616","93402","1141"
"3","Jalandhar","77909","391","75952","1566"
"4","Patiala","61884","86","60342","1456"
"5","Amritsar","59169","99","57392","1678"
"6","Bathinda","50644","186","49375","1083"
"7","Hoshiarpur","40551","367","39098","1086"
"8","Gurdaspur","26838","98","25881","859"
"9","Pathankot","24313","192","23635","486"
"10","Fazilka","23208","687","21977","544"
"11","Muktsar","22443","113","21793","537"
"12","Kapurthala","21904","96","21229","579"
"13","Ropar","17857","168","17238","451"
"14","Ferozepur","17770","66","17174","530"
"15","Mansa","17211","17","16803","391"
"16","Faridkot","16634","139","16160","335"
"17","Sangrur","13995","15","13262","718"
"18","SBS Nagar","13356","33","12922","401"
"19","FG Sahib","11800","43","11403","354"
"20","Moga","10946","47","10646","253"
"21","Tarn Taran","10816","117","10307","392"
"22","Barnala","7423","61","7057","305"
"23","Malerkotla","4265","4","4071","190"
"","Total","755561","3966","733999","17596"
