"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1435","1331","261328","207","13329","274657","1822"
"Bageshwar","904","629","224974","81","6220","231194","973"
"Chamoli","1399","738","303798","202","12927","316725","1343"
"Champawat","1241","1786","282247","104","8216","290463","915"
"Dehradun","9819","7623","1994964","1687","125594","2120558","4735"
"Haridwar","9489","9074","2312972","582","56362","2369334","2186"
"Nainital","1947","1022","596984","644","44587","641571","853"
"Pauri Garhwal","1097","918","430776","270","19544","450320","619"
"Pithoragarh","939","883","244778","30","10856","255634","496"
"Rudraprayag","831","703","207816","75","9107","216923","609"
"Tehri Garhwal","822","604","314683","157","16625","331308","801"
"US Nagar","2924","2652","1002374","398","41474","1043848","758"
"Uttarkashi","744","753","351784","45","12890","364674","635"
"Total","33591","28716","8529478","4482","377731","8907209","16745"
