,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-27,DL,Central Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
1,1,2021-12-27,DL,East Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
2,2,2021-12-27,DL,New Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
3,3,2021-12-27,DL,North Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
4,4,2021-12-27,DL,North East Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
5,5,2021-12-27,DL,North West Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
6,6,2021-12-27,DL,Shahdara,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
7,7,2021-12-27,DL,South Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
8,8,2021-12-27,DL,South East Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
9,9,2021-12-27,DL,South West Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
10,10,2021-12-27,DL,West Delhi,,,,,,,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
11,11,2021-12-27,DL,Unknown,,,,1443683.0,25106.0,1417288.0,,2021-12-28 11:35:26.958213,,,,1443683,25106,1417288,32447831
