"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","438","149","223564","0","12203","235767","710"
"Bageshwar","567","159","197396","0","5764","203160","884"
"Chamoli","645","283","273101","1","12245","285346","1254"
"Champawat","648","84","226012","0","7605","233617","1369"
"Dehradun","4565","3820","1806300","7","112402","1918702","2518"
"Haridwar","2213","2388","2032647","1","51508","2084155","1370"
"Nainital","1130","733","518940","0","39241","558181","1364"
"Pauri Garhwal","786","1376","369382","0","17688","387070","572"
"Pithoragarh","189","242","207358","0","10263","217621","357"
"Rudraprayag","202","247","185110","0","8800","193910","651"
"Tehri Garhwal","257","290","290721","0","15836","306557","265"
"US Nagar","1158","926","876681","0","37877","914558","1197"
"Uttarkashi","390","584","326368","4","12555","338923","584"
"Total","13188","11281","7533580","13","343987","7877567","13095"
