"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","322","1123891","2","19651"
"2","Thane","9","120155","0","2289"
"3","TMC","27","199165","0","2177"
"4","Navi Mumbai","46","176545","0","2093"
"5","KDMC","13","178951","0","2978"
